Change Component Designator: OldDesignator=C? NewDesignator=C1
Added Member To Class: ClassName=Power Member=Component C1 CN-ALU-SMD
Added Member To Class: ClassName=Main Member=Component C? CN
Added Member To Class: ClassName=Power Member=Component C? CN
Added Member To Class: ClassName=Power Member=Component C? CN
Added Member To Class: ClassName=Power Member=Component C? 10uF
Added Member To Class: ClassName=Power Member=Component C? 10uF
Added Member To Class: ClassName=Power Member=Component C? 10uF
Added Member To Class: ClassName=Power Member=Component C? 10uF
Added Member To Class: ClassName=Power Member=Component C? CN
Added Member To Class: ClassName=Power Member=Component D? Diode
Added Member To Class: ClassName=Power Member=Component U? LM2576
